                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.23109,                0.29526,                0.33458,                0.87691,                0.99137,                0.97339,                0.97188,                0.96605,                0.99137,                0.97339,                0.97188,                0.95975,                0.15654,                0.20529,                0.33759,                0.83382,             0.00064333,             0.00064333,             0.00064333
                     26,                0.22633,                0.28686,                0.32862,                0.86899,                0.99306,                0.97464,                0.97209,                0.96062,                0.99306,                0.97464,                0.97209,                0.96004,                0.19782,                0.19693,                0.29619,                0.85031,             0.00063508,             0.00063508,             0.00063508
                     27,                0.22744,                0.23413,                0.32767,                 0.8671,                0.99669,                0.97464,                 0.9723,                0.96465,                0.99669,                0.97464,                 0.9723,                0.96045,                 0.1938,                0.22708,                0.25097,                0.85812,             0.00062683,             0.00062683,             0.00062683
                     28,                0.22502,                 0.1727,                0.31067,                0.86797,                0.99668,                0.97464,                0.97218,                0.95202,                0.99668,                0.97464,                0.97218,                 0.9606,                0.22576,                0.28249,                0.30807,                0.87988,             0.00061859,             0.00061859,             0.00061859
                     29,                0.22021,                0.23367,                0.31031,                0.86807,                0.99478,                0.97464,                0.97225,                0.96695,                0.99478,                0.97464,                0.97225,                0.95733,                0.17946,                0.27801,                0.28397,                0.84136,             0.00061034,             0.00061034,             0.00061034
                     30,                 0.2294,                 0.2341,                0.31003,                0.86815,                0.99682,                0.97464,                0.97245,                0.96259,                0.99682,                0.97464,                0.97245,                 0.9575,                0.20201,                0.20149,                0.25646,                 0.8634,             0.00060209,             0.00060209,             0.00060209
                     31,                0.20829,                0.21889,                0.28799,                 0.8591,                0.99635,                0.97464,                0.97287,                0.96604,                0.99635,                0.97464,                0.97287,                0.95884,                0.16176,                0.22344,                0.20899,                0.83405,             0.00059385,             0.00059385,             0.00059385
                     32,                0.20902,                0.16416,                0.28114,                0.85832,                0.98175,                0.97464,                0.97246,                0.96371,                0.98175,                0.97464,                0.97221,                0.95969,                0.17539,                0.21682,                0.25126,                0.84544,              0.0005856,              0.0005856,              0.0005856
                     33,                0.20806,                0.17127,                0.28257,                0.85194,                0.99694,                0.97464,                0.97296,                0.96538,                0.99694,                0.97464,                0.97296,                0.96059,                0.15474,                 0.2253,                0.20162,                0.83303,             0.00057735,             0.00057735,             0.00057735
                     34,                0.22042,                0.24411,                0.28549,                0.86309,                0.99625,                0.97464,                0.97347,                0.96392,                0.99625,                0.97464,                0.97239,                0.95758,                0.17683,                0.25128,                0.21545,                0.84333,             0.00056911,             0.00056911,             0.00056911
