                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.26038,                0.43404,                0.23312,                0.87223,                0.99631,                0.97746,                0.97834,                0.97091,                0.99631,                0.97746,                0.97834,                 0.9633,                0.17453,                0.25403,                0.16181,                0.80932,             0.00068145,             0.00068145,             0.00068145
                     26,                0.24823,                0.40641,                0.22099,                0.86418,                0.99686,                0.97746,                0.98082,                0.97555,                0.99686,                0.97746,                0.98082,                0.97208,                0.13964,                0.19834,                0.13829,                0.79943,             0.00067764,             0.00067764,             0.00067764
                     27,                0.25346,                0.42946,                0.21885,                0.86738,                0.99731,                0.97746,                0.97996,                0.97447,                0.99731,                0.97746,                0.97996,                0.97138,                0.15166,                0.21572,                0.16371,                0.80308,             0.00067384,             0.00067384,             0.00067384
                     28,                0.25069,                0.40096,                 0.2177,                0.86421,                0.99725,                0.97746,                0.98037,                0.97636,                0.99725,                0.97746,                0.98037,                 0.9716,                0.13847,                0.21164,                0.13802,                0.79551,             0.00067003,             0.00067003,             0.00067003
                     29,                0.24687,                0.39584,                0.21446,                0.86527,                0.99513,                0.97746,                0.98108,                0.97458,                0.99513,                0.97746,                0.98108,                0.97321,                0.15818,                0.24461,                 0.1522,                0.80909,             0.00066622,             0.00066622,             0.00066622
                     30,                0.24372,                 0.3974,                0.21042,                0.86577,                0.98913,                0.97746,                0.97776,                0.96933,                0.98913,                0.97746,                0.97776,                0.96454,                0.18178,                0.34752,                0.22055,                0.81986,             0.00066242,             0.00066242,             0.00066242
                     31,                0.25181,                0.40824,                0.22408,                0.86471,                0.99596,                0.97746,                0.97983,                 0.9727,                0.99596,                0.97746,                0.97983,                0.96761,                0.14515,                0.19445,                0.14521,                0.80143,             0.00065861,             0.00065861,             0.00065861
                     32,                0.23976,                0.39081,                 0.2064,                0.86313,                0.99632,                0.97746,                0.97754,                0.97174,                0.99632,                0.97746,                0.97754,                0.96722,                0.13377,                0.25986,                0.12966,                0.79373,              0.0006548,              0.0006548,              0.0006548
                     33,                 0.2402,                0.36704,                0.20232,                0.86394,                0.99692,                0.97746,                0.97957,                 0.9715,                0.99692,                0.97746,                0.97957,                0.96521,                0.13517,                0.21941,                0.12973,                0.79357,               0.000651,               0.000651,               0.000651
                     34,                0.24943,                0.40874,                  0.212,                0.86577,                0.99682,                0.97746,                  0.979,                0.97419,                0.99682,                0.97746,                  0.979,                 0.9665,                0.14592,                0.19928,                0.15123,                0.80093,             0.00064719,             0.00064719,             0.00064719
                     35,                0.24102,                0.40376,                0.20777,                0.86723,                0.99669,                0.97746,                0.97708,                0.97058,                0.99669,                0.97746,                0.97708,                0.96567,                0.15306,                0.25616,                0.14697,                0.80581,             0.00064338,             0.00064338,             0.00064338
                     36,                  0.239,                 0.4005,                 0.2027,                0.86475,                0.99699,                0.97746,                0.97754,                0.97105,                0.99699,                0.97746,                0.97754,                0.96545,                0.13749,                0.21414,                0.14143,                0.79722,             0.00063958,             0.00063958,             0.00063958
                     37,                0.23836,                0.40388,                0.20456,                0.85857,                0.99633,                0.97746,                0.97805,                0.97366,                0.99633,                0.97746,                0.97805,                0.96803,                0.13961,                0.21598,                0.13486,                 0.7984,             0.00063577,             0.00063577,             0.00063577
                     38,                0.23298,                0.37858,                0.20078,                 0.8654,                 0.9925,                0.97746,                0.97872,                0.96227,                 0.9925,                0.97746,                0.97872,                0.96446,                0.14469,                0.25264,                0.17316,                 0.8022,             0.00063196,             0.00063196,             0.00063196
                     39,                0.24093,                0.42114,                0.20672,                0.86652,                0.99679,                0.97746,                0.98032,                0.97678,                0.99679,                0.97746,                0.98032,                0.97093,                0.13592,                0.24578,                0.13447,                0.79407,             0.00062816,             0.00062816,             0.00062816
                     40,                0.22969,                0.38474,                0.19806,                0.85977,                  0.997,                0.97746,                0.97667,                0.97071,                  0.997,                0.97746,                0.97667,                0.91865,                0.13394,                0.66533,                0.12705,                0.79606,             0.00062435,             0.00062435,             0.00062435
                     41,                0.22931,                0.36281,                0.20013,                0.85677,                0.99664,                0.97746,                0.97488,                0.96798,                0.99664,                0.97746,                0.97488,                0.96168,                0.14147,                0.21414,                0.13963,                0.79935,             0.00062054,             0.00062054,             0.00062054
                     42,                0.23183,                0.39113,                0.19676,                0.86327,                0.99739,                0.97746,                0.97525,                0.96689,                0.99739,                0.97746,                0.97525,                0.96314,                0.14227,                0.18942,                0.14656,                0.80592,             0.00061674,             0.00061674,             0.00061674
                     43,                0.23236,                0.38712,                0.19575,                0.86401,                0.99713,                0.97746,                0.98085,                0.97661,                0.99713,                0.97746,                0.98085,                0.96734,                0.13565,                0.19532,                0.13942,                0.79717,             0.00061293,             0.00061293,             0.00061293
                     44,                0.23449,                0.38279,                0.19763,                0.86315,                0.99627,                0.97746,                0.97863,                0.97092,                0.99627,                0.97746,                0.97863,                 0.9652,                0.12058,                0.19284,                0.12413,                0.79025,             0.00060912,             0.00060912,             0.00060912
                     45,                0.23522,                0.37417,                0.19421,                0.86084,                0.99697,                0.97746,                0.97645,                0.97216,                0.99697,                0.97746,                0.97645,                0.96905,                0.12503,                 0.1911,                0.12328,                0.79262,             0.00060532,             0.00060532,             0.00060532
                     46,                 0.2282,                0.36739,                0.18685,                0.86237,                0.99691,                0.97746,                0.97922,                0.97188,                0.99691,                0.97746,                0.97922,                0.96667,                0.12194,                0.17526,                0.12228,                0.78968,             0.00060151,             0.00060151,             0.00060151
                     47,                0.22528,                0.34521,                0.18936,                0.85583,                0.99659,                0.97746,                0.97894,                0.97404,                0.99659,                0.97746,                0.97894,                0.96763,                0.13252,                0.25752,                0.13745,                0.79411,             0.00059771,             0.00059771,             0.00059771
                     48,                0.22437,                0.35498,                0.18494,                0.85502,                0.99723,                0.97746,                0.98077,                0.97409,                0.99723,                0.97746,                0.98077,                0.96827,                0.12524,                0.22252,                 0.1271,                0.79197,              0.0005939,              0.0005939,              0.0005939
                     49,                0.22529,                0.35621,                0.18861,                0.86105,                0.99682,                0.97746,                0.97662,                0.96488,                0.99682,                0.97746,                0.97662,                0.95779,                0.14026,                0.34751,                0.14064,                0.79848,             0.00059009,             0.00059009,             0.00059009
                     50,                0.22692,                0.36625,                0.19939,                0.86005,                0.99712,                0.97746,                0.98012,                0.97477,                0.99712,                0.97746,                0.98012,                0.96883,                0.11888,                0.22891,                0.12432,                 0.7917,             0.00058629,             0.00058629,             0.00058629
                     51,                0.22113,                0.35551,                0.18657,                0.86027,                0.99697,                0.97746,                 0.9781,                0.97344,                0.99697,                0.97746,                 0.9781,                0.97026,                0.13744,                0.28109,                0.13235,                0.79979,             0.00058248,             0.00058248,             0.00058248
                     52,                0.22493,                0.37036,                0.18462,                0.86259,                0.99666,                0.97746,                0.98166,                0.97593,                0.99666,                0.97746,                0.98166,                0.97259,                0.12851,                0.30309,                0.12586,                0.79406,             0.00057867,             0.00057867,             0.00057867
                     53,                0.21864,                0.35361,                0.18105,                0.85892,                0.99719,                0.97746,                0.97996,                0.97379,                0.99719,                0.97746,                0.97996,                0.96718,                 0.1268,                0.20312,                0.12085,                0.79406,             0.00057487,             0.00057487,             0.00057487
                     54,                0.21916,                0.38465,                0.17965,                0.86032,                0.99621,                0.97746,                0.97509,                0.96833,                0.99621,                0.97746,                0.97509,                0.96018,                0.13635,                0.30968,                0.15062,                0.79582,             0.00057106,             0.00057106,             0.00057106
                     55,                0.22127,                0.33658,                0.18496,                  0.858,                0.99769,                0.97746,                 0.9827,                 0.9794,                0.99769,                0.97746,                 0.9827,                0.97433,                0.11449,                0.25695,                0.11043,                 0.7872,             0.00056725,             0.00056725,             0.00056725
                     56,                 0.2242,                0.35512,                0.18392,                0.86036,                0.99698,                0.97746,                0.97709,                0.97068,                0.99698,                0.97746,                0.97709,                0.96617,                 0.1377,                0.24851,                 0.1339,                0.80209,             0.00056345,             0.00056345,             0.00056345
                     57,                0.21732,                0.36965,                0.17919,                0.85816,                0.99535,                0.97665,                0.97893,                0.97408,                0.99535,                0.97665,                0.97893,                0.97073,                 0.1213,                0.25675,                0.13343,                0.79292,             0.00055964,             0.00055964,             0.00055964
                     58,                0.21888,                0.34283,                0.18038,                0.86006,                0.99693,                0.97746,                0.97652,                 0.9721,                0.99693,                0.97746,                0.97652,                0.96553,                0.12496,                0.22346,                0.13071,                0.79344,             0.00055583,             0.00055583,             0.00055583
                     59,                0.21927,                0.33598,                0.18288,                0.85821,                0.99711,                0.97746,                0.97655,                0.97005,                0.99711,                0.97746,                0.97655,                0.96468,                0.14554,                0.24216,                0.14817,                0.80716,             0.00055203,             0.00055203,             0.00055203
                     60,                0.21251,                0.33718,                0.18177,                0.85416,                0.99723,                0.97746,                0.97655,                  0.973,                0.99723,                0.97746,                0.97655,                0.96655,                0.11563,                0.24469,                0.11541,                0.79024,             0.00054822,             0.00054822,             0.00054822
                     61,                0.21377,                0.35388,                0.17665,                0.85425,                0.99778,                0.97746,                0.98141,                0.97758,                0.99778,                0.97746,                0.98141,                0.97444,                0.12231,                0.27732,                0.12765,                0.79355,             0.00054441,             0.00054441,             0.00054441
                     62,                0.22287,                0.34898,                0.17814,                0.86187,                0.99449,                0.97729,                0.98028,                0.97167,                0.99449,                0.97729,                0.98028,                0.97086,                0.13855,                0.27258,                0.14699,                0.80332,             0.00054061,             0.00054061,             0.00054061
                     63,                0.21366,                0.33047,                0.17375,                0.85731,                0.99658,                0.97746,                 0.9798,                0.97398,                0.99658,                0.97746,                 0.9798,                0.97013,                0.13737,                0.27366,                0.13524,                0.80092,              0.0005368,              0.0005368,              0.0005368
                     64,                0.21332,                0.33839,                0.17557,                0.86079,                0.99772,                0.97746,                0.97782,                0.97252,                0.99772,                0.97746,                0.97782,                0.96638,                0.12445,                0.19862,                0.13228,                0.79742,             0.00053299,             0.00053299,             0.00053299
                     65,                0.21827,                0.34542,                0.17969,                0.85972,                0.99761,                0.97746,                 0.9821,                0.97658,                0.99761,                0.97746,                 0.9821,                0.96906,                 0.1188,                 0.2363,                 0.1114,                0.79564,             0.00052919,             0.00052919,             0.00052919
