                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.27519,                 0.2569,                0.43976,                0.88703,                0.98815,                0.97904,                0.97554,                0.95537,                0.98815,                0.97904,                0.97554,                0.96319,                 0.2221,                0.20818,                0.36489,                0.87039,             0.00068145,             0.00068145,             0.00068145
                     26,                0.27221,                0.20057,                0.42294,                0.89249,                 0.9865,                0.97904,                 0.9759,                0.96108,                 0.9865,                0.97904,                 0.9759,                0.96318,                0.23009,                0.19386,                0.34924,                0.86817,             0.00067764,             0.00067764,             0.00067764
                     27,                0.26844,                0.26103,                0.41588,                0.89829,                0.98483,                0.97904,                0.97587,                0.95024,                0.98483,                0.97904,                0.97587,                0.96397,                0.25924,                0.19426,                0.34648,                 0.8792,             0.00067384,             0.00067384,             0.00067384
                     28,                0.27143,                0.26368,                 0.4154,                0.89384,                0.97336,                0.97904,                0.97576,                0.96114,                0.97336,                0.97904,                0.97576,                0.96535,                0.23796,                0.21516,                0.35751,                0.90105,             0.00067003,             0.00067003,             0.00067003
                     29,                0.26759,                0.28118,                0.41571,                 0.9008,                0.99333,                0.97904,                0.97576,                0.95894,                0.99333,                0.97904,                0.97576,                 0.9663,                0.23426,                0.22766,                0.28584,                0.87973,             0.00066622,             0.00066622,             0.00066622
                     30,                0.27119,                0.28191,                0.42304,                0.89307,                0.99128,                0.97857,                 0.9756,                0.95967,                0.99128,                0.97857,                 0.9756,                0.96822,                0.22738,                0.23919,                0.28098,                0.88075,             0.00066242,             0.00066242,             0.00066242
                     31,                0.25086,                 0.2448,                0.40294,                0.88906,                0.99194,                0.97904,                0.97577,                0.95658,                0.99194,                0.97904,                0.97577,                 0.9647,                0.21734,                0.21414,                 0.2785,                0.87169,             0.00065861,             0.00065861,             0.00065861
                     32,                0.25072,                0.22674,                0.38551,                0.89394,                0.99062,                0.97904,                 0.9757,                0.96238,                0.99062,                0.97904,                 0.9757,                0.96681,                0.21437,                0.24256,                0.27238,                0.86255,              0.0006548,              0.0006548,              0.0006548
                     33,                0.25632,                0.22251,                0.36259,                 0.8879,                0.99007,                0.97904,                0.97557,                 0.9641,                0.99007,                0.97904,                0.97557,                 0.9655,                0.21086,                0.22386,                0.26806,                0.86168,               0.000651,               0.000651,               0.000651
                     34,                 0.2479,                0.21769,                 0.3693,                0.89085,                 0.9908,                0.97451,                0.97567,                0.96674,                 0.9908,                0.97451,                0.97567,                0.96707,                0.20373,                 0.1996,                0.27447,                0.86212,             0.00064719,             0.00064719,             0.00064719
                     35,                0.25329,                0.18593,                0.36108,                0.89188,                0.99286,                0.97904,                0.97587,                0.96254,                0.99286,                0.97904,                0.97587,                0.96693,                0.20884,                0.21128,                0.25106,                0.86212,             0.00064338,             0.00064338,             0.00064338
                     36,                0.24985,                0.22748,                0.35336,                0.89731,                0.98914,                0.97904,                0.97624,                0.96073,                0.98914,                0.97904,                0.97624,                 0.9672,                0.21965,                0.22285,                0.25801,                0.86736,             0.00063958,             0.00063958,             0.00063958
                     37,                0.24998,                0.20465,                 0.3488,                0.88602,                0.99534,                0.97904,                0.97616,                0.96602,                0.99534,                0.97904,                0.97616,                0.96798,                0.21916,                0.23849,                0.24861,                0.86355,             0.00063577,             0.00063577,             0.00063577
                     38,                0.26609,                0.22954,                0.35535,                0.89168,                0.98769,                0.97904,                0.97642,                0.96808,                0.98769,                0.97904,                0.97642,                0.96858,                0.20407,                0.21606,                 0.2511,                0.85622,             0.00063196,             0.00063196,             0.00063196
                     39,                0.23926,                0.23156,                0.31964,                0.88201,                 0.9944,                0.97904,                0.97618,                0.96637,                 0.9944,                0.97904,                0.97618,                0.96887,                0.22056,                0.21303,                0.25117,                0.87131,             0.00062816,             0.00062816,             0.00062816
                     40,                0.24483,                0.18913,                0.32994,                0.89218,                0.99421,                0.97904,                0.97694,                0.96296,                0.99421,                0.97904,                0.97694,                0.96826,                0.23562,                 0.2175,                0.26781,                0.87992,             0.00062435,             0.00062435,             0.00062435
                     41,                 0.2425,                0.21076,                0.32396,                0.88518,                 0.9938,                0.97904,                0.97663,                0.96639,                 0.9938,                0.97904,                0.97663,                0.96656,                0.21211,                0.20067,                0.25173,                0.85825,             0.00062054,             0.00062054,             0.00062054
