                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.34631,                0.69148,                 3.0436,                0.93859,                0.81976,                0.44338,                0.69206,                0.64857,                0.81976,                0.44338,                0.69201,                0.68444,                0.35853,                0.36112,                 2.3275,                0.96333,             0.00025023,             0.00025023,             0.00025023
                      2,                 0.3269,                0.30311,                 1.4415,                 0.9018,                0.89031,                0.95782,                0.96973,                0.92936,                0.89031,                0.95782,                0.96962,                0.96064,                0.31147,                0.31663,                 1.0327,                0.90167,             0.00050406,             0.00050406,             0.00050406
                      3,                0.31907,                0.31627,                 1.0352,                0.89237,                0.97147,                0.95939,                0.97367,                0.94247,                0.97147,                0.95939,                0.97362,                0.95456,                0.29159,                0.34526,                0.84355,                 0.8765,             0.00075534,             0.00075534,             0.00075534
                      4,                0.30898,                0.30616,                0.89583,                0.89332,                0.96625,                0.96929,                0.97392,                0.93784,                0.96625,                0.96929,                0.97392,                0.96229,                0.35662,                0.23196,                0.87265,                0.95008,             0.00075758,             0.00075758,             0.00075758
                      5,                0.30825,                0.24684,                0.83325,                0.87909,                0.97862,                0.96949,                0.97461,                0.95504,                0.97862,                0.96949,                0.97394,                0.96327,                0.28673,                0.21972,                0.68259,                0.86935,             0.00075758,             0.00075758,             0.00075758
                      6,                0.30382,                0.20934,                0.76464,                0.88608,                0.96741,                0.94962,                0.97465,                 0.9574,                0.96741,                0.94962,                0.97361,                0.96158,                0.27001,                0.19923,                0.76685,                0.86648,             0.00075377,             0.00075377,             0.00075377
                      7,                0.30279,                0.25392,                0.74454,                0.88915,                 0.9841,                0.95716,                0.97392,                0.95371,                 0.9841,                0.95716,                0.97392,                0.95964,                 0.2768,                 0.2653,                0.70719,                0.87138,             0.00074997,             0.00074997,             0.00074997
                      8,                0.28166,                0.27272,                0.67804,                 0.8823,                0.97995,                 0.9496,                0.97393,                0.94943,                0.97995,                 0.9496,                0.97393,                0.96507,                0.29489,                0.21126,                0.70464,                0.91799,             0.00074616,             0.00074616,             0.00074616
                      9,                0.28802,                0.28076,                0.64882,                0.87298,                0.95534,                0.97746,                0.97393,                0.95529,                0.95534,                0.97746,                0.97393,                0.96615,                0.24387,                0.20078,                0.56865,                0.85449,             0.00074235,             0.00074235,             0.00074235
                     10,                0.27509,                0.24713,                0.58887,                0.87146,                0.99384,                0.97746,                0.97394,                0.96029,                0.99384,                0.97746,                0.97394,                0.96528,                0.26322,                0.21957,                0.54627,                0.85951,             0.00073855,             0.00073855,             0.00073855
                     11,                0.27005,                0.30358,                0.56431,                0.87457,                0.98686,                0.97746,                0.97392,                0.97049,                0.98686,                0.97746,                0.97392,                0.96383,                0.20119,                0.20012,                0.52444,                0.81263,             0.00073474,             0.00073474,             0.00073474
                     12,                0.27494,                0.24455,                0.52701,                0.87848,                0.98158,                0.97417,                0.97397,                0.95968,                0.98158,                0.97417,                0.97395,                0.96637,                0.25729,                0.20621,                0.53385,                0.86241,             0.00073093,             0.00073093,             0.00073093
                     13,                 0.2661,                0.21815,                0.52032,                0.87027,                0.97582,                0.97746,                0.97401,                0.96944,                0.97582,                0.97746,                0.97401,                0.96657,                0.20337,                0.18761,                0.50207,                0.81941,             0.00072713,             0.00072713,             0.00072713
