                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.32688,                0.71376,                 3.0471,                0.93815,                0.99064,                0.14382,                0.76853,                0.70523,                0.99064,                0.14382,                0.76853,                0.74878,                0.34536,                0.33705,                 2.5726,                0.98579,             0.00025023,             0.00025023,             0.00025023
                      2,                0.32839,                0.32161,                 1.5044,                 0.8985,                0.96262,                0.94844,                0.97312,                0.89982,                0.96262,                0.94844,                0.97248,                0.94586,                0.36674,                0.38054,                0.93073,                0.95013,             0.00050406,             0.00050406,             0.00050406
                      3,                0.31759,                0.34276,                  1.054,                0.89826,                0.96685,                0.95874,                0.97457,                0.90583,                0.96685,                0.95874,                0.97393,                0.95645,                0.39841,                0.32906,                 1.0835,                 1.0009,             0.00075534,             0.00075534,             0.00075534
                      4,                0.30414,                0.21125,                0.91317,                0.88623,                0.84348,                0.87648,                0.93611,                0.90173,                0.84348,                0.87648,                0.93609,                0.90831,                0.32269,                0.39011,                 1.1872,                0.91444,             0.00075758,             0.00075758,             0.00075758
                      5,                0.32035,                0.24752,                0.86267,                0.88513,                0.99289,                0.97259,                0.97472,                0.95713,                0.99289,                0.97259,                0.97393,                0.95595,                0.26216,                0.29214,                0.65368,                0.87535,             0.00075758,             0.00075758,             0.00075758
                      6,                0.28578,                0.30563,                0.77336,                0.87618,                0.98575,                0.97746,                0.97393,                0.95419,                0.98575,                0.97746,                0.97393,                 0.9572,                0.28733,                0.22441,                0.64337,                0.88832,             0.00075377,             0.00075377,             0.00075377
                      7,                0.28549,                0.28874,                0.71578,                0.88251,                0.97385,                0.97746,                0.97399,                0.95042,                0.97385,                0.97746,                0.97393,                0.93231,                0.28185,                0.38068,                0.74085,                0.89737,             0.00074997,             0.00074997,             0.00074997
                      8,                 0.2726,                0.25082,                  0.672,                0.87306,                0.98506,                0.97746,                0.97392,                 0.9483,                0.98506,                0.97746,                0.97392,                0.96014,                0.26512,                0.33997,                0.57273,                0.87197,             0.00074616,             0.00074616,             0.00074616
                      9,                0.27395,                0.22099,                0.62595,                0.87273,                 0.9701,                0.97128,                 0.9749,                0.95129,                 0.9701,                0.97128,                0.97392,                0.95354,                0.26161,                0.24464,                0.65143,                0.86698,             0.00074235,             0.00074235,             0.00074235
                     10,                0.27476,                0.20501,                0.60658,                0.87466,                   0.91,                0.97504,                0.97393,                0.95738,                   0.91,                0.97504,                0.97393,                0.95767,                0.25153,                0.23173,                0.63222,                0.87084,             0.00073855,             0.00073855,             0.00073855
                     11,                 0.2704,                0.27873,                0.57172,                0.87701,                0.98862,                0.97674,                0.97395,                0.95921,                0.98862,                0.97674,                0.97393,                0.96098,                0.21402,                0.21533,                  0.528,                0.84968,             0.00073474,             0.00073474,             0.00073474
                     12,                0.25472,                0.24147,                0.52897,                0.87078,                0.97965,                0.97746,                0.97397,                  0.955,                0.97965,                0.97746,                0.97397,                0.95914,                0.24408,                0.22985,                0.52543,                0.86429,             0.00073093,             0.00073093,             0.00073093
                     13,                0.25927,                0.26519,                0.50202,                0.87314,                 0.9897,                0.97746,                0.97398,                0.95244,                 0.9897,                0.97746,                0.97398,                0.94958,                0.22269,                0.32222,                0.50474,                0.85201,             0.00072713,             0.00072713,             0.00072713
                     14,                0.25157,                0.24768,                0.46887,                0.86664,                0.99131,                0.97746,                0.97403,                0.96097,                0.99131,                0.97746,                0.97398,                0.95786,                0.22855,                0.20191,                0.44869,                0.84635,             0.00072332,             0.00072332,             0.00072332
                     15,                0.25409,                0.24842,                0.45157,                0.86475,                0.99424,                0.97746,                0.97402,                0.96027,                0.99424,                0.97746,                0.97402,                0.95888,                0.21241,                0.22712,                0.41641,                0.84278,             0.00071951,             0.00071951,             0.00071951
                     16,                0.24956,                0.22697,                 0.4379,                0.86798,                0.98274,                0.96563,                0.97404,                0.96309,                0.98274,                0.96563,                0.97404,                0.96009,                0.22053,                0.27332,                0.43246,                0.83274,             0.00071571,             0.00071571,             0.00071571
                     17,                0.23826,                0.18618,                0.40325,                0.86671,                0.99279,                0.97583,                0.97414,                 0.9605,                0.99279,                0.97583,                0.97414,                0.96064,                0.19196,                0.26729,                0.38104,                0.83211,              0.0007119,              0.0007119,              0.0007119
                     18,                0.23985,                0.26032,                0.38964,                0.86835,                0.99558,                0.97746,                0.97437,                 0.9651,                0.99558,                0.97746,                0.97437,                0.96074,                0.19027,                0.22685,                0.31559,                0.83052,              0.0007081,              0.0007081,              0.0007081
