                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3067,                0.95541,                 1.0568,                0.74838,                0.62201,                0.68124,                0.40117,                 1.5842,                 1.1576,                 1.1578,             0.00033306,             0.00033306,             0.00033306
                     35,                 1.3423,                  0.995,                 1.0543,                0.74703,                0.61195,                0.68833,                0.39448,                 1.5794,                 1.2135,                 1.1578,             0.00031506,             0.00031506,             0.00031506
                     36,                 1.2885,                0.96237,                 1.0455,                0.72772,                0.62424,                  0.673,                0.39611,                 1.5704,                 1.1553,                 1.1588,             0.00029706,             0.00029706,             0.00029706
                     37,                 1.2738,                0.95418,                  1.044,                0.76782,                0.58508,                0.67689,                0.39598,                 1.5636,                 1.1663,                 1.1514,             0.00027906,             0.00027906,             0.00027906
                     38,                 1.2842,                0.93497,                 1.0414,                0.76622,                0.60782,                0.68962,                0.40712,                 1.5425,                 1.1363,                 1.1505,             0.00026106,             0.00026106,             0.00026106
                     39,                 1.3152,                0.95747,                 1.0399,                0.77272,                  0.601,                0.69409,                0.40738,                 1.5618,                 1.1395,                  1.162,             0.00024307,             0.00024307,             0.00024307
                     40,                 1.2629,                0.92266,                   1.03,                0.74012,                0.65072,                0.69963,                0.40945,                 1.5542,                 1.1032,                 1.1525,             0.00022507,             0.00022507,             0.00022507
                     41,                 1.2353,                0.99895,                 1.0107,                0.77433,                 0.6163,                0.68895,                0.40428,                 1.6019,                 1.2264,                  1.169,             0.00020707,             0.00020707,             0.00020707
                     42,                  1.218,                 0.9059,                 1.0071,                0.74694,                0.63503,                  0.695,                0.40848,                 1.5733,                 1.1555,                  1.177,             0.00018907,             0.00018907,             0.00018907
                     43,                 1.1648,                0.86567,                 0.9929,                 0.7467,                0.62034,                0.68932,                0.40858,                 1.5654,                 1.1484,                 1.1649,             0.00017107,             0.00017107,             0.00017107
                     44,                 1.1909,                0.85781,                 1.0033,                0.76187,                0.64325,                0.70206,                0.41408,                 1.5538,                 1.1147,                 1.1581,             0.00015308,             0.00015308,             0.00015308
                     45,                 1.1571,                0.85688,                0.97918,                0.70568,                0.62372,                0.69395,                0.41106,                  1.567,                 1.1312,                 1.1658,             0.00013508,             0.00013508,             0.00013508
                     46,                  1.152,                0.83219,                0.99328,                0.76143,                0.58439,                 0.6842,                0.40286,                 1.5709,                 1.1341,                 1.1733,             0.00011708,             0.00011708,             0.00011708
                     47,                 1.1692,                0.84122,                0.99458,                  0.758,                0.59233,                0.68604,                0.40397,                 1.5669,                 1.1434,                 1.1643,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     48,                 1.1559,                0.81854,                0.98553,                0.71724,                0.62944,                0.69781,                0.41101,                 1.5587,                 1.1224,                 1.1545,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     49,                 1.1536,                0.80805,                0.98978,                 0.7187,                0.62568,                0.70025,                0.41326,                 1.5608,                 1.1133,                 1.1572,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     50,                 1.1348,                0.79429,                0.98415,                0.73244,                0.62185,                 0.6966,                0.40706,                 1.5614,                 1.1013,                 1.1556,             4.5086e-05,             4.5086e-05,             4.5086e-05
