                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.26213,                0.25276,                0.42892,                0.88315,                0.99128,                0.97838,                0.97557,                0.96589,                0.99128,                0.97838,                0.97557,                0.96538,                0.19677,                0.21488,                0.39225,                0.85103,              0.0005939,              0.0005939,              0.0005939
                     26,                0.26612,                0.19997,                0.42769,                0.89056,                0.99364,                0.97904,                0.97559,                0.95739,                0.99364,                0.97904,                0.97559,                0.96192,                0.23111,                 0.2276,                0.35851,                 0.8808,             0.00058629,             0.00058629,             0.00058629
                     27,                0.25369,                0.25294,                0.40854,                0.89333,                0.99166,                0.97904,                0.97525,                0.96598,                0.99166,                0.97904,                0.97525,                0.96628,                0.19999,                0.21133,                0.33446,                0.85822,             0.00057867,             0.00057867,             0.00057867
                     28,                0.25904,                0.24215,                0.39849,                 0.8877,                0.99149,                  0.978,                 0.9757,                0.96568,                0.99149,                  0.978,                 0.9757,                0.96081,                0.20379,                0.22065,                0.32131,                0.85857,             0.00057106,             0.00057106,             0.00057106
                     29,                0.25764,                0.27184,                0.38626,                0.89807,                0.99266,                0.97904,                0.97551,                 0.9652,                0.99266,                0.97904,                0.97551,                0.96466,                0.21241,                0.21965,                0.30613,                0.86597,             0.00056345,             0.00056345,             0.00056345
                     30,                0.26692,                0.27159,                0.40373,                0.89279,                0.99145,                0.97904,                0.97554,                0.96219,                0.99145,                0.97904,                0.97554,                0.96422,                0.22891,                0.21415,                0.29833,                0.87594,             0.00055583,             0.00055583,             0.00055583
                     31,                0.25086,                0.23475,                0.36625,                0.88709,                0.99452,                0.97904,                0.97574,                0.96201,                0.99452,                0.97904,                0.97574,                0.96311,                0.20252,                0.20201,                0.26304,                0.86246,             0.00054822,             0.00054822,             0.00054822
                     32,                 0.2494,                0.22548,                0.36898,                0.89342,                0.99316,                0.97904,                0.97569,                0.96443,                0.99316,                0.97904,                0.97569,                  0.965,                0.20779,                0.23578,                0.25789,                0.86851,             0.00054061,             0.00054061,             0.00054061
                     33,                0.24156,                0.20549,                0.34449,                0.88594,                0.99411,                0.97904,                0.97574,                0.95898,                0.99411,                0.97904,                0.97574,                0.96461,                 0.1955,                0.22974,                  0.259,                0.85849,             0.00053299,             0.00053299,             0.00053299
                     34,                0.23639,                0.21902,                0.34051,                0.88632,                0.99084,                0.97904,                0.97595,                0.96815,                0.99084,                0.97904,                0.97595,                0.96812,                0.19015,                0.19269,                0.26824,                0.84886,             0.00052538,             0.00052538,             0.00052538
                     35,                0.23252,                0.20183,                0.33419,                0.88712,                0.99267,                0.97904,                0.97542,                0.96925,                0.99267,                0.97904,                0.97542,                0.96855,                 0.1837,                0.22412,                0.27543,                0.84412,             0.00051777,             0.00051777,             0.00051777
                     36,                0.23276,                 0.2134,                0.31803,                0.89244,                0.99014,                0.97904,                0.97571,                0.96311,                0.99014,                0.97904,                0.97571,                0.96759,                0.22794,                0.22177,                0.28544,                0.87389,             0.00051015,             0.00051015,             0.00051015
                     37,                0.23466,                0.19335,                0.33175,                0.87887,                0.99489,                0.97904,                0.97605,                 0.9678,                0.99489,                0.97904,                0.97605,                0.96512,                0.16913,                0.20751,                0.22074,                0.83125,             0.00050254,             0.00050254,             0.00050254
                     38,                0.24547,                0.22509,                0.33372,                 0.8876,                 0.9871,                0.97904,                0.97595,                0.95177,                 0.9871,                0.97904,                0.97595,                0.96065,                0.21494,                0.19383,                0.27791,                0.86151,             0.00049493,             0.00049493,             0.00049493
                     39,                0.22156,                0.22354,                 0.2994,                 0.8776,                 0.9672,                0.97904,                0.97592,                0.96867,                 0.9672,                0.97904,                0.97592,                0.96721,                0.19183,                0.23077,                0.29299,                0.84558,             0.00048732,             0.00048732,             0.00048732
                     40,                0.23033,                0.17783,                0.30258,                0.88801,                0.99419,                0.97904,                0.97669,                0.96441,                0.99419,                0.97904,                0.97669,                 0.9659,                0.17781,                0.20826,                0.23921,                0.84248,              0.0004797,              0.0004797,              0.0004797
                     41,                 0.2343,                 0.2179,                0.31795,                0.88304,                  0.996,                0.97904,                0.97672,                0.96737,                  0.996,                0.97904,                0.97672,                0.96655,                0.17634,                0.20599,                0.22143,                0.84021,             0.00047209,             0.00047209,             0.00047209
                     42,                0.22833,                0.21601,                0.30605,                0.88302,                0.99339,                0.97904,                0.97633,                0.96788,                0.99339,                0.97904,                0.97633,                0.96526,                0.17088,                0.17998,                0.23623,                0.84076,             0.00046448,             0.00046448,             0.00046448
                     43,                0.21575,                0.21564,                0.30768,                0.88282,                0.99527,                0.97904,                0.97745,                0.96857,                0.99527,                0.97904,                0.97745,                0.96815,                0.17587,                0.21809,                0.20954,                0.83792,             0.00045686,             0.00045686,             0.00045686
                     44,                0.21912,                0.24101,                 0.2956,                0.88482,                0.99219,                0.97904,                 0.9763,                0.96689,                0.99219,                0.97904,                 0.9763,                0.96329,                0.16123,                0.20662,                0.20086,                0.82761,             0.00044925,             0.00044925,             0.00044925
                     45,                 0.2211,                0.20262,                0.31437,                0.88445,                0.98239,                0.97904,                0.97024,                 0.9625,                0.98239,                0.97904,                0.97024,                0.96109,                0.18841,                0.23747,                0.22695,                0.84893,             0.00044164,             0.00044164,             0.00044164
                     46,                0.21179,                0.18852,                0.30768,                0.88313,                0.99459,                0.97904,                0.97702,                0.97016,                0.99459,                0.97904,                0.97702,                0.96943,                0.17182,                0.22173,                0.21294,                0.83584,             0.00043402,             0.00043402,             0.00043402
                     47,                0.22099,                0.21096,                  0.285,                0.88165,                 0.9927,                0.97904,                0.97684,                0.96778,                 0.9927,                0.97904,                0.97684,                0.96792,                 0.1629,                0.20396,                0.20811,                0.83263,             0.00042641,             0.00042641,             0.00042641
                     48,                0.21302,                0.19122,                0.27964,                0.87562,                0.99343,                0.97904,                0.97676,                0.97174,                0.99343,                0.97904,                0.97676,                 0.9702,                0.15636,                  0.206,                0.19167,                0.82656,              0.0004188,              0.0004188,              0.0004188
                     49,                0.21136,                0.21969,                0.27453,                0.88289,                0.99548,                0.97904,                0.97769,                0.97313,                0.99548,                0.97904,                0.97769,                0.97109,                0.15926,                0.21502,                0.18686,                0.82736,             0.00041118,             0.00041118,             0.00041118
                     50,                0.21432,                0.21785,                0.27227,                0.88764,                0.99549,                0.97904,                0.97706,                 0.9708,                0.99549,                0.97904,                0.97706,                0.96719,                0.15335,                 0.2137,                0.18054,                0.82861,             0.00040357,             0.00040357,             0.00040357
                     51,                0.21742,                0.20867,                0.28671,                0.88648,                0.99431,                0.97904,                0.97661,                 0.9709,                0.99431,                0.97904,                0.97661,                0.96898,                0.16547,                0.20831,                0.19573,                0.83205,             0.00039596,             0.00039596,             0.00039596
                     52,                0.22127,                0.19381,                 0.2803,                0.88601,                0.99467,                0.97904,                0.97636,                0.96713,                0.99467,                0.97904,                0.97636,                0.96624,                0.15739,                0.20823,                0.17753,                0.83036,             0.00038835,             0.00038835,             0.00038835
                     53,                 0.2132,                0.18429,                0.28154,                0.88139,                0.99485,                0.97904,                0.97697,                0.97146,                0.99485,                0.97904,                0.97697,                 0.9696,                0.17567,                0.20233,                0.19095,                0.83866,             0.00038073,             0.00038073,             0.00038073
                     54,                0.21172,                 0.2558,                0.27012,                 0.8802,                0.99173,                0.97904,                0.97602,                   0.97,                0.99173,                0.97904,                0.97602,                  0.968,                0.16128,                0.24444,                 0.1885,                0.83273,             0.00037312,             0.00037312,             0.00037312
                     55,                0.21613,                 0.2154,                0.27672,                0.87208,                0.99405,                0.97904,                0.97613,                0.96773,                0.99405,                0.97904,                0.97613,                0.96499,                0.14841,                0.22578,                  0.195,                0.82503,             0.00036551,             0.00036551,             0.00036551
                     56,                0.19882,                0.17784,                0.25637,                0.87314,                0.99258,                0.97904,                0.97602,                0.96665,                0.99258,                0.97904,                0.97602,                0.96493,                0.14354,                0.21668,                0.18856,                0.82282,             0.00035789,             0.00035789,             0.00035789
                     57,                 0.2065,                0.20549,                0.26458,                0.88336,                0.99536,                0.97904,                0.97611,                0.97028,                0.99536,                0.97904,                0.97611,                0.96644,                0.14466,                0.21015,                0.16908,                0.82263,             0.00035028,             0.00035028,             0.00035028
                     58,                0.20958,                 0.2124,                0.26261,                0.87509,                0.99333,                0.97904,                0.97654,                0.96905,                0.99333,                0.97904,                0.97654,                0.96454,                0.14599,                0.19995,                0.18852,                0.82051,             0.00034267,             0.00034267,             0.00034267
                     59,                0.21072,                0.16956,                0.25422,                0.87696,                0.99476,                0.97904,                 0.9767,                0.96963,                0.99476,                0.97904,                 0.9767,                0.96825,                0.15492,                  0.209,                0.20014,                0.83089,             0.00033505,             0.00033505,             0.00033505
